0        10        20        30        40        50        60        70        80        90        100       110
1        10        20        30        40        50        60        70        80        90        100       110
2        10        20        30        40        50        60        70        80        90        100       110
3        10        20        30        40        50        60        70        80        90        100       110
4        10        20        30        40        50        60        70        80        90        100       110
5        10        20        30        40        50        60        70        80        90        100       110
6        10        20        30        40        50        60        70        80        90        100       110
7        10        20        30        40        50        60        70        80        90        100       110
8        10        20        30        40        50        60        70        80        90        100       110
9        10        20        30        40        50        60        70        80        90        100       110
10       10        20        30        40        50        60        70        80        90        100       110
